;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SENAI;                                            ATIVO IMOBILIZADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"SISTEMA DE
CONFERÊNCIA
ON -LINE
03/2026";LOCALIZ.;NOME DO AMBIENTE;;;;;IMOB.;"Nº 
INVENTÁRIO";"DATA
INCORP.";DENOMINAÇÃO IMOBILIZADO;RESPONSÁVEL;STATUS/OCORRÊNCIA;TRANSFERÊNCIA;;DISPONIBILIDADE;;;;BAIXA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;"LOCAL
DESTINO";RESPONSÁVEL;AUTORIZ.;"DATA ENVIO 
P/GAF";"Nº DA
UNIDADE";ENTREPOSTO;AUTORIZ.;"DATA 
ENVIO 
P/DIRETOR";"PROCESSO 
Nº";;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10207091;1202271;28.02.2018;ARMÁRIO BAIXO MALIBU DC 1649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10175607;1142261;31.05.2015;ARMÁRIO PASTA AZ DC1660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10194732;1180322;01.02.2017;CADEIRA ESTRUTURA EM C - PRETO/ COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10194733;1180323;01.02.2017;CADEIRA ESTRUTURA EM C - PRETO/ COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10194734;1180324;01.02.2017;CADEIRA ESTRUTURA EM C - PRETO/ COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10194735;1180325;01.02.2017;CADEIRA ESTRUTURA EM C - PRETO/ COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10194736;1180326;01.02.2017;CADEIRA ESTRUTURA EM C - PRETO/ COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10194737;1180327;01.02.2017;CADEIRA ESTRUTURA EM C - PRETO/ COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10194786;1180376;01.02.2017;CADEIRA GIRATÓRIA C/BRAÇOS TECIDO PRETO/COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10194805;1180395;01.02.2017;CADEIRA GIRATÓRIA C/BRAÇOS TECIDO PRETO/COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10194711;1180301;01.02.2017;CADEIRA GIRATÓRIA P/DIRETOR/ COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10360143;1206913;17.04.2018;CONDICIONADOR DE AR 12.000 BTU HI-WALL/ PHILCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770003;2077;00;03;;;;10624496;1272201;31.03.2023;CONDICIONADOR DE AR SPLIT HI WALL 18.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
